Cntry,CntryCo,AttName,AttCode,Year,AttValue
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,2007,9
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,2008,9
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,2009,7
Afghanistan,AFG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,36.8
Afghanistan,AFG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,36.8
Afghanistan,AFG,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,36.8
Afghanistan,AFG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,84.6
Afghanistan,AFG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,59.5
Afghanistan,AFG,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,30.2
Afghanistan,AFG,Cost to register property (% of property value),IC.RP.COST,2007,7
Afghanistan,AFG,Cost to register property (% of property value),IC.RP.COST,2008,7
Afghanistan,AFG,Cost to register property (% of property value),IC.RP.COST,2009,4
Albania,ALB,Time required to start a business (days),IC.REG.DURS,2007,37
Albania,ALB,Time required to start a business (days),IC.REG.DURS,2008,10
Albania,ALB,Time required to start a business (days),IC.REG.DURS,2009,6
Albania,ALB,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2007,51.3
Albania,ALB,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2008,49.6
Albania,ALB,Total tax rate (% of profit),IC.TAX.TOTL.CP.ZS,2009,43.6
Albania,ALB,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2007,46.1
Albania,ALB,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2008,42.5
Albania,ALB,Cost to start a business (% of income per capita),IC.REG.COST.PC.ZS,2009,32.2
Albania,ALB,Cost to register property (% of property value),IC.RP.COST,2007,15.2
Albania,ALB,Cost to register property (% of property value),IC.RP.COST,2008,14.4
Albania,ALB,Cost to register property (% of property value),IC.RP.COST,2009,13.1
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,2007,24
Algeria,DZA,Time required to start a business (days),IC.REG.DURS,2008,24
