Cntry,CntryCo,AttName,AttCode,Year,AttValue
Afghanistan,AFG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2007,..
Afghanistan,AFG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2008,..
Afghanistan,AFG,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2009,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2007,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2008,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2009,..
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2007,..
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2008,..
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2009,..
Afghanistan,AFG,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2007,..
Afghanistan,AFG,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2008,..
Afghanistan,AFG,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2009,..
Albania,ALB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2007,..
Albania,ALB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2008,90.26728821
Albania,ALB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2009,89.39333344
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2007,..
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2008,91316
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2009,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2007,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2008,95.93864
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2009,..
Albania,ALB,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2007,..
Albania,ALB,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2008,..
Albania,ALB,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2009,..
Algeria,DZA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2007,95.97537994
Algeria,DZA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2008,97.34114838
Algeria,DZA,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2009,98.80840302
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2007,..
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2008,6278638
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2009,..
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2007,..
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2008,75.13605
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2009,..
Algeria,DZA,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2007,..
Algeria,DZA,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2008,..
Algeria,DZA,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2009,..
American Samoa,ASM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2007,..
American Samoa,ASM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2008,..
American Samoa,ASM,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,2009,..
American Samoa,ASM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2007,..
American Samoa,ASM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2008,..
American Samoa,ASM,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,2009,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2007,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2008,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,2009,..
American Samoa,ASM,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2007,..
American Samoa,ASM,"Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%)",SE.TER.CMPL.ZS,2008,..
