Cntry,CntryCo,Year,Curr,AttCode,AttName,AttValue
Aruba,ABW,2007,Aruban Guilder,POP,Population,"100,018"
Aruba,ABW,2007,Aruban Guilder,CHCUR,Final Consumption,"2,549,000,000"
Aruba,ABW,2007,Aruban Guilder,GCUR,Govt Collective Consumption Overall,"960,000,000"
Aruba,ABW,2007,Aruban Guilder,ICUR,Domestic Investment,"1,534,000,000"
Aruba,ABW,2007,Aruban Guilder,EXPC,Exports of goods and serices,"3,063,000,000"
Aruba,ABW,2007,Aruban Guilder,IMPC,Imports of goods and serices,"3,518,000,000"
Aruba,ABW,2008,Aruban Guilder,POP,Population,"101,600"
Aruba,ABW,2008,Aruban Guilder,CHCUR,Final Consumption,"2,731,000,000"
Aruba,ABW,2008,Aruban Guilder,GCUR,Govt Collective Consumption Overall,"1,044,000,000"
Aruba,ABW,2008,Aruban Guilder,ICUR,Domestic Investment,"1,675,000,000"
Aruba,ABW,2008,Aruban Guilder,EXPC,Exports of goods and serices,"3,344,000,000"
Aruba,ABW,2008,Aruban Guilder,IMPC,Imports of goods and serices,"3,918,000,000"
Aruba,ABW,2009,Aruban Guilder,POP,Population,"102,800"
Aruba,ABW,2009,Aruban Guilder,CHCUR,Final Consumption,"2,596,192,144"
Aruba,ABW,2009,Aruban Guilder,GCUR,Govt Collective Consumption Overall,"1,019,346,079"
Aruba,ABW,2009,Aruban Guilder,ICUR,Domestic Investment,"1,360,821,160"
Aruba,ABW,2009,Aruban Guilder,EXPC,Exports of goods and serices,"3,051,080,000"
Aruba,ABW,2009,Aruban Guilder,IMPC,Imports of goods and serices,"3,332,000,000"
Afghanistan,AFG,2007,Afghani,POP,Population,"31,889,923"
Afghanistan,AFG,2007,Afghani,CHCUR,Final Consumption,"496,138,000,000"
Afghanistan,AFG,2007,Afghani,GCUR,Govt Collective Consumption Overall,"53,600,000,000"
Afghanistan,AFG,2007,Afghani,ICUR,Domestic Investment,"154,634,000,000"
Afghanistan,AFG,2007,Afghani,EXPC,Exports of goods and serices,"87,408,000,000"
Afghanistan,AFG,2007,Afghani,IMPC,Imports of goods and serices,"286,151,000,000"
Afghanistan,AFG,2007,Afghani,CACUR,Actual Household Consumption,"512,985,401,313"
Afghanistan,AFG,2007,Afghani,GCCUR,Govt Collective Consumption Public Goods,"36,752,598,687"
Afghanistan,AFG,2008,Afghani,POP,Population,"24,506,839"
Afghanistan,AFG,2008,Afghani,CHCUR,Final Consumption,"530,763,000,000"
Afghanistan,AFG,2008,Afghani,GCUR,Govt Collective Consumption Overall,"54,212,000,000"
Afghanistan,AFG,2008,Afghani,ICUR,Domestic Investment,"149,704,000,000"
Afghanistan,AFG,2008,Afghani,EXPC,Exports of goods and serices,"93,417,000,000"
Afghanistan,AFG,2008,Afghani,IMPC,Imports of goods and serices,"285,929,000,000"
Afghanistan,AFG,2008,Afghani,CACUR,Actual Household Consumption,"547,802,763,433"
Afghanistan,AFG,2008,Afghani,GCCUR,Govt Collective Consumption Public Goods,"37,172,236,567"
Afghanistan,AFG,2009,Afghani,POP,Population,"25,390,062"
Afghanistan,AFG,2009,Afghani,CHCUR,Final Consumption,"591,676,000,000"
Afghanistan,AFG,2009,Afghani,GCUR,Govt Collective Consumption Overall,"58,811,028,254"
Afghanistan,AFG,2009,Afghani,ICUR,Domestic Investment,"158,552,000,000"
Afghanistan,AFG,2009,Afghani,EXPC,Exports of goods and serices,"107,005,000,000"
Afghanistan,AFG,2009,Afghani,IMPC,Imports of goods and serices,"283,489,000,000"
Afghanistan,AFG,2009,Afghani,CACUR,Actual Household Consumption,"610,161,317,064"
Afghanistan,AFG,2009,Afghani,GCCUR,Govt Collective Consumption Public Goods,"40,325,711,190"
Angola,AGO,2007,Kwanza,POP,Population,"12,263,596"
Angola,AGO,2007,Kwanza,CHCUR,Final Consumption,"1,480,720,000,000"
Angola,AGO,2007,Kwanza,GCUR,Govt Collective Consumption Overall,"1,017,250,000,000"
Angola,AGO,2007,Kwanza,ICUR,Domestic Investment,"636,251,000,000"
Angola,AGO,2007,Kwanza,EXPC,Exports of goods and serices,"3,429,320,000,000"
Angola,AGO,2007,Kwanza,IMPC,Imports of goods and serices,"2,017,680,000,000"
Angola,AGO,2007,Kwanza,CACUR,Actual Household Consumption,"1,608,862,600,000"
Angola,AGO,2007,Kwanza,GCCUR,Govt Collective Consumption Public Goods,"889,107,352,617"
Angola,AGO,2008,Kwanza,POP,Population,"12,531,000"
Angola,AGO,2008,Kwanza,CHCUR,Final Consumption,"2,111,970,000,000"
Angola,AGO,2008,Kwanza,GCUR,Govt Collective Consumption Overall,"1,667,250,000,000"
Angola,AGO,2008,Kwanza,ICUR,Domestic Investment,"1,009,630,000,000"
Angola,AGO,2008,Kwanza,EXPC,Exports of goods and serices,"4,820,380,000,000"
Angola,AGO,2008,Kwanza,IMPC,Imports of goods and serices,"3,235,540,000,000"
Angola,AGO,2008,Kwanza,CACUR,Actual Household Consumption,"2,321,992,900,000"
Angola,AGO,2008,Kwanza,GCCUR,Govt Collective Consumption Public Goods,"1,457,227,100,000"
Angola,AGO,2009,Kwanza,POP,Population,"12,799,000"
Angola,AGO,2009,Kwanza,CHCUR,Final Consumption,"2,481,780,000,000"
Angola,AGO,2009,Kwanza,GCUR,Govt Collective Consumption Overall,"1,442,460,000,000"
Angola,AGO,2009,Kwanza,ICUR,Domestic Investment,"966,341,000,000"
Angola,AGO,2009,Kwanza,EXPC,Exports of goods and serices,"2,933,220,000,000"
Angola,AGO,2009,Kwanza,IMPC,Imports of goods and serices,"2,294,920,000,000"
Angola,AGO,2009,Kwanza,CACUR,Actual Household Consumption,"2,663,486,200,000"
Angola,AGO,2009,Kwanza,GCCUR,Govt Collective Consumption Public Goods,"1,260,753,800,000"
Anguilla,AIA,2007,East Caribbean Dollar,POP,Population,"13,779"
Anguilla,AIA,2007,East Caribbean Dollar,CHCUR,Final Consumption,"709,580,000"
Anguilla,AIA,2007,East Caribbean Dollar,GCUR,Govt Collective Consumption Overall,"92,780,000"
Anguilla,AIA,2007,East Caribbean Dollar,ICUR,Domestic Investment,"417,500,000"
Anguilla,AIA,2007,East Caribbean Dollar,EXPC,Exports of goods and serices,"386,240,000"
Anguilla,AIA,2007,East Caribbean Dollar,IMPC,Imports of goods and serices,"866,930,000"
Anguilla,AIA,2008,East Caribbean Dollar,POP,Population,"14,000"
Anguilla,AIA,2008,East Caribbean Dollar,CHCUR,Final Consumption,"690,480,000"
Anguilla,AIA,2008,East Caribbean Dollar,GCUR,Govt Collective Consumption Overall,"114,750,000"
Anguilla,AIA,2008,East Caribbean Dollar,ICUR,Domestic Investment,"491,980,000"
Anguilla,AIA,2008,East Caribbean Dollar,EXPC,Exports of goods and serices,"366,850,000"
Anguilla,AIA,2008,East Caribbean Dollar,IMPC,Imports of goods and serices,"879,840,000"
Anguilla,AIA,2009,East Caribbean Dollar,POP,Population,"14,300"
Anguilla,AIA,2009,East Caribbean Dollar,CHCUR,Final Consumption,"472,170,000"
Anguilla,AIA,2009,East Caribbean Dollar,GCUR,Govt Collective Consumption Overall,"117,040,000"
Anguilla,AIA,2009,East Caribbean Dollar,ICUR,Domestic Investment,"228,030,000"
